,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
124,Tornio,FI,30.22,light snow,65.8481,24.1466,Park Hotel Tornio
126,Ravar,IR,54.1,overcast clouds,31.2656,56.8055,زائر سرا راور
128,Teguise,ES,62.82,few clouds,29.0605,-13.564,Finca Las Laderas
129,Bengkulu,ID,75.36,overcast clouds,-3.8004,102.2655,Dena Hotel
131,Opochka,RU,26.55,overcast clouds,56.7105,28.6617,Опочка
133,Miri,MY,76.44,overcast clouds,4.4148,114.0089,Kenyalang Suites Miri
134,Antsohihy,MG,75.06,light rain,-14.8796,47.9875,Escale
136,Marmaris,TR,64.11,scattered clouds,36.855,28.2742,Yasmin Butik Otel
137,Sisimiut,GL,18.3,overcast clouds,66.9395,-53.6735,Sømandshjemmet
139,Swiecie,PL,34.81,few clouds,53.4095,18.4474,Hotel Magdalena
140,Sitka,US,24.69,few clouds,57.0531,-135.33,Aspen Suites Hotel
141,Katsuura,JP,67.5,broken clouds,35.1333,140.3,潮騒の宿
142,Sur,OM,74.75,clear sky,22.5667,59.5289,Sur Hotel
143,Saryagash,KZ,46.36,overcast clouds,41.4511,69.1701,гостинца
144,San Jose,US,61.54,few clouds,37.3394,-121.895,Hotel De Anza
145,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
149,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti International Resort
152,Padang,ID,76.37,overcast clouds,-0.9492,100.3543,losmen Surya
153,Mount Pleasant,US,69.1,clear sky,32.7941,-79.8626,Old Village Post House
155,Bathsheba,BB,78.04,clear sky,13.2167,-59.5167,Atlantis Hotel
156,Plainview,US,42.67,broken clouds,40.7765,-73.4673,Residence Inn by Marriott
158,Paamiut,GL,27.79,overcast clouds,61.994,-49.6678,Hotel Ivaana
159,Ancud,CL,52.81,overcast clouds,-41.8697,-73.8203,Cabañas
160,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Comfort Rooms
162,Ilulissat,GL,21.22,broken clouds,69.2167,-51.1,Best Western Plus Hotel Ilulissat
165,Castro,BR,59.83,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
166,Bouna,CI,82.89,overcast clouds,9.2667,-3.0,Hôtel Éléphant  Bouna
167,La Ronge,CA,6.51,overcast clouds,55.1001,-105.2842,La Ronge Hotel and Suites
168,Salalah,OM,75.29,few clouds,17.0151,54.0924,Muscat International Hotel
170,San Vicente,AR,70.79,scattered clouds,-26.6167,-54.1333,Los Lapachos
173,Qaanaaq,GL,-16.62,few clouds,77.484,-69.3632,Hotel Qaanaaq
174,Hambantota,LK,74.91,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
175,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Hotel Grand Senyiur
177,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
179,Caravelas,BR,74.84,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
180,Hasaki,JP,61.29,overcast clouds,35.7333,140.8333,Choshi Plaza Hotel
182,Iqaluit,CA,-22.2,scattered clouds,63.7506,-68.5145,Frobisher Inn
183,Fort Nelson,CA,-6.75,overcast clouds,58.8053,-122.7002,Fort Nelson Hotel
187,Fairbanks,US,-3.08,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel
188,El Cobre,CU,78.89,overcast clouds,20.0489,-75.9469,El Cobre
189,Cidreira,BR,70.95,scattered clouds,-30.1811,-50.2056,Hotel Castelo
190,Musoma,TZ,69.49,light rain,-1.5,33.8,New Peninsula Hotel
191,Urumqi,CN,-6.65,clear sky,43.801,87.6005,百时快捷酒店红山店
194,Talnakh,RU,-15.34,broken clouds,69.4865,88.3972,Талнах
